,Nodes,GW15.clusterColorID,GW19.clusterColorID,GW15.clusterID,GW19.clusterID,GW.clusterColorID,GW.clusterID
2788,RAB11B,black,black,7,7,magenta,9
2789,RAB11FIP2,grey,blue,0,2,turquoise,1
2790,RAB11FIP4,grey,grey,0,0,pink,8
2791,RAB12,grey,turquoise,0,1,turquoise,1
2792,RAB14,green,yellow,5,4,yellow,4
2793,RAB15,grey,turquoise,0,1,blue,2
2794,RAB18,grey,grey,0,0,turquoise,1
2795,RAB1A,green,yellow,5,4,yellow,4
2796,RAB1B,blue,turquoise,2,1,black,7
2797,RAB21,red,turquoise,6,1,red,6
2798,RAB22A,brown,turquoise,3,1,blue,2
2799,RAB2B,turquoise,grey,1,0,turquoise,1
2800,RAB31,grey,turquoise,0,1,turquoise,1
2801,RAB3A,grey,brown,0,3,blue,2
2802,RAB3C,blue,grey,2,0,green,5
2803,RAB3GAP2,yellow,turquoise,4,1,brown,3
2804,RAB5B,salmon,blue,13,2,lightcyan,16
2805,RAB6B,pink,yellow,8,4,tan,12
2806,RAB8A,greenyellow,turquoise,11,1,midnightblue,15
2807,RAB8B,red,turquoise,6,1,red,6
2808,RABEP1,salmon,turquoise,13,1,lightcyan,16
2809,RABGAP1,salmon,turquoise,13,1,blue,2
2810,RABGEF1,magenta,tan,9,12,greenyellow,11
2811,RABGGTB,blue,grey,2,0,blue,2
2812,RAC1,turquoise,lightyellow,1,19,darkred,21
2813,RAD21,blue,blue,2,2,grey60,17
2814,RAD23B,grey,turquoise,0,1,pink,8
2815,RAD9A,grey,turquoise,0,1,blue,2
2816,RAE1,grey,turquoise,0,1,turquoise,1
2817,RAF1,grey,turquoise,0,1,turquoise,1
2818,RAI1,grey,brown,0,3,blue,2
2819,RALA,turquoise,lightgreen,1,18,purple,10
2820,RALGAPB,yellow,green,4,5,brown,3
2821,RALGDS,black,black,7,7,magenta,9
2822,RALGPS1,greenyellow,purple,11,10,midnightblue,15
2823,RALY,grey,turquoise,0,1,pink,8
2824,RALYL,black,grey,7,0,magenta,9
2825,RANBP2,grey,turquoise,0,1,turquoise,1
2826,RANBP6,blue,turquoise,2,1,pink,8
2827,RAP1A,grey,turquoise,0,1,turquoise,1
2828,RAP1B,black,turquoise,7,1,magenta,9
2829,RAP2A,grey,blue,0,2,turquoise,1
2830,RAP2C,blue,turquoise,2,1,turquoise,1
2831,RAPGEF1,green,turquoise,5,1,yellow,4
2832,RAPGEF2,green,yellow,5,4,yellow,4
2833,RAPGEF6,salmon,turquoise,13,1,lightcyan,16
2834,RAPH1,grey,grey,0,0,turquoise,1
2835,RARS,green,yellow,5,4,yellow,4
2836,RASA1,pink,black,8,7,tan,12
2837,RASA2,red,turquoise,6,1,red,6
2838,RASAL2,brown,turquoise,3,1,blue,2
2839,RASD1,grey,turquoise,0,1,turquoise,1
2840,RASGRF1,grey,turquoise,0,1,turquoise,1
2841,RASL11B,red,red,6,6,red,6
2842,RAVER2,turquoise,lightgreen,1,18,purple,10
2843,RB1CC1,grey,blue,0,2,turquoise,1
2844,RBAK,brown,turquoise,3,1,blue,2
2845,RBBP6,green,yellow,5,4,yellow,4
2846,RBFOX1,salmon,grey,13,0,lightcyan,16
2847,RBFOX2,black,salmon,7,13,magenta,9
2848,RBL2,blue,turquoise,2,1,royalblue,20
2849,RBM12,brown,turquoise,3,1,turquoise,1
2850,RBM12B,red,red,6,6,red,6
2851,RBM14-RBM4,grey,brown,0,3,black,7
2852,RBM15B,royalblue,turquoise,20,1,purple,10
2853,RBM22,brown,yellow,3,4,royalblue,20
2854,RBM24,salmon,brown,13,3,lightcyan,16
2855,RBM25,magenta,tan,9,12,greenyellow,11
2856,RBM26,yellow,green,4,5,brown,3
2857,RBM33,blue,grey,2,0,pink,8
2858,RBM4B,turquoise,pink,1,8,lightgreen,18
2859,RBM5,grey,blue,0,2,green,5
2860,RBM8A,midnightblue,turquoise,15,1,lightyellow,19
2861,RBMX,blue,turquoise,2,1,turquoise,1
2862,RBMXL1,turquoise,blue,1,2,grey60,17
2863,RBP1,turquoise,brown,1,3,turquoise,1
2864,RBPJ,brown,lightcyan,3,16,turquoise,1
2865,RC3H1,brown,turquoise,3,1,black,7
2866,RC3H2,yellow,green,4,5,brown,3
2867,RCAN1,grey,turquoise,0,1,turquoise,1
2868,RCOR1,grey,grey,0,0,turquoise,1
2869,RCOR3,grey,turquoise,0,1,turquoise,1
2870,RECK,midnightblue,turquoise,15,1,lightyellow,19
2871,REEP1,green,yellow,5,4,yellow,4
2872,REEP5,grey,grey,0,0,turquoise,1
2873,RELA,grey,grey,0,0,turquoise,1
2874,REPS1,yellow,green,4,5,brown,3
2875,RER1,green,turquoise,5,1,yellow,4
2876,RERE,brown,turquoise,3,1,turquoise,1
2877,REV3L,yellow,green,4,5,brown,3
2878,RFFL,blue,turquoise,2,1,blue,2
2879,RFX5,grey,turquoise,0,1,turquoise,1
2880,RFX7,salmon,greenyellow,13,11,lightcyan,16
2881,RGL1,pink,turquoise,8,1,tan,12
2882,RGMA,red,turquoise,6,1,red,6
2883,RGMB,pink,cyan,8,14,tan,12
2884,RGS17,tan,turquoise,12,1,cyan,14
2885,RGS2,brown,turquoise,3,1,blue,2
2886,RGS7BP,lightyellow,brown,19,3,darkgreen,22
2887,RHEB,grey,blue,0,2,blue,2
2888,RHNO1,brown,turquoise,3,1,blue,2
2889,RHOA,brown,grey,3,0,blue,2
2890,RHOB,grey,grey,0,0,turquoise,1
2891,RHOBTB1,turquoise,black,1,7,magenta,9
2892,RHOG,grey,grey,0,0,turquoise,1
2893,RHOJ,yellow,turquoise,4,1,blue,2
2894,RICTOR,turquoise,blue,1,2,blue,2
2895,RIF1,lightgreen,blue,18,2,grey60,17
2896,RIMBP2,red,grey,6,0,red,6
2897,RIMKLB,green,yellow,5,4,yellow,4
2898,RIMS3,grey,turquoise,0,1,turquoise,1
2899,RIT1,turquoise,grey,1,0,green,5
2900,RLIM,turquoise,grey,1,0,brown,3
2901,RLTPR,grey,grey,0,0,black,7
2902,RMDN1,salmon,greenyellow,13,11,lightcyan,16
2903,RMI1,grey,turquoise,0,1,turquoise,1
2904,RMND5A,grey,turquoise,0,1,turquoise,1
2905,RNASEH1,lightgreen,turquoise,18,1,purple,10
2906,RNASEK-C17orf49,grey,turquoise,0,1,turquoise,1
2907,RND1,grey,turquoise,0,1,turquoise,1
2908,RND3,grey,turquoise,0,1,turquoise,1
2909,RNF103,grey,turquoise,0,1,turquoise,1
2910,RNF111,yellow,turquoise,4,1,brown,3
2911,RNF130,grey,grey,0,0,turquoise,1
2912,RNF139,magenta,tan,9,12,greenyellow,11
2913,RNF14,pink,turquoise,8,1,tan,12
2914,RNF141,tan,salmon,12,13,cyan,14
2915,RNF144A,grey,black,0,7,magenta,9
2916,RNF145,purple,red,10,6,greenyellow,11
2917,RNF146,lightcyan,lightyellow,16,19,darkred,21
2918,RNF150,grey,grey,0,0,turquoise,1
2919,RNF157,turquoise,yellow,1,4,yellow,4
2920,RNF165,yellow,green,4,5,brown,3
2921,RNF182,cyan,pink,14,8,lightgreen,18
2922,RNF187,brown,turquoise,3,1,royalblue,20
2923,RNF19A,black,turquoise,7,1,magenta,9
2924,RNF2,salmon,greenyellow,13,11,lightcyan,16
2925,RNF213,grey,turquoise,0,1,turquoise,1
2926,RNF216,blue,tan,2,12,greenyellow,11
2927,RNF219,grey,grey,0,0,turquoise,1
2928,RNF24,red,red,6,6,red,6
2929,RNF25,turquoise,grey,1,0,turquoise,1
2930,RNF34,blue,turquoise,2,1,brown,3
2931,RNF38,purple,grey,10,0,salmon,13
2932,RNF4,red,red,6,6,red,6
2933,RNF41,magenta,tan,9,12,greenyellow,11
2934,RNF44,yellow,green,4,5,brown,3
2935,RNF6,grey60,brown,17,3,blue,2
2936,RNMT,blue,turquoise,2,1,grey60,17
2937,RNPEPL1,brown,turquoise,3,1,blue,2
2938,ROBO1,grey,turquoise,0,1,turquoise,1
2939,ROBO2,magenta,turquoise,9,1,greenyellow,11
2940,ROCK2,blue,blue,2,2,green,5
2941,RORA,tan,salmon,12,13,cyan,14
2942,RORB,purple,turquoise,10,1,salmon,13
2943,RP11-302B13.5,grey,turquoise,0,1,turquoise,1
2944,RP11-315D16.2,turquoise,grey,1,0,turquoise,1
2945,RP11-73M18.2,grey,red,0,6,turquoise,1
2946,RP2,tan,turquoise,12,1,cyan,14
2947,RPAP2,grey,brown,0,3,turquoise,1
2948,RPIA,turquoise,grey,1,0,green,5
2949,RPL11,grey,grey,0,0,turquoise,1
2950,RPL14,grey,grey,0,0,turquoise,1
2951,RPL15,black,magenta,7,9,magenta,9
2952,RPL18,grey,turquoise,0,1,turquoise,1
2953,RPL19,lightgreen,turquoise,18,1,grey60,17
2954,RPL23,grey,turquoise,0,1,turquoise,1
2955,RPL23A,grey,grey,0,0,turquoise,1
2956,RPL27,grey60,turquoise,17,1,blue,2
2957,RPL27A,green,yellow,5,4,yellow,4
2958,RPL28,grey,grey,0,0,turquoise,1
2959,RPL3,brown,lightgreen,3,18,blue,2
2960,RPL30,grey,grey,0,0,turquoise,1
2961,RPL32,grey,turquoise,0,1,turquoise,1
2962,RPL34,grey,turquoise,0,1,turquoise,1
2963,RPL35,brown,blue,3,2,pink,8
2964,RPL35A,greenyellow,purple,11,10,midnightblue,15
2965,RPL37,tan,salmon,12,13,cyan,14
2966,RPL37A,grey,grey,0,0,turquoise,1
2967,RPL38,green,yellow,5,4,yellow,4
2968,RPL41,red,turquoise,6,1,grey60,17
2969,RPL5,blue,turquoise,2,1,grey60,17
2970,RPL6,grey,grey,0,0,black,7
2971,RPL7L1,grey,turquoise,0,1,turquoise,1
2972,RPL8,brown,turquoise,3,1,purple,10
