,Nodes,GW15.clusterColorID,GW19.clusterColorID,GW15.clusterID,GW19.clusterID,GW.clusterColorID,GW.clusterID
3192,SLC39A3,turquoise,grey,1,0,turquoise,1
3193,SLC39A6,midnightblue,midnightblue,15,15,lightyellow,19
3194,SLC40A1,grey,grey,0,0,turquoise,1
3195,SLC43A2,tan,turquoise,12,1,cyan,14
3196,SLC44A2,turquoise,grey,1,0,turquoise,1
3197,SLC44A5,cyan,turquoise,14,1,lightgreen,18
3198,SLC48A1,grey,grey,0,0,turquoise,1
3199,SLC4A3,blue,blue,2,2,pink,8
3200,SLC4A7,brown,brown,3,3,turquoise,1
3201,SLC5A3,brown,blue,3,2,blue,2
3202,SLC6A15,turquoise,grey,1,0,turquoise,1
3203,SLC7A1,brown,turquoise,3,1,black,7
3204,SLC7A5,turquoise,grey,1,0,turquoise,1
3205,SLC7A6,turquoise,green,1,5,brown,3
3206,SLC8A1,grey,red,0,6,black,7
3207,SLCO5A1,grey,turquoise,0,1,turquoise,1
3208,SLIT1,brown,grey,3,0,turquoise,1
3209,SLITRK1,blue,midnightblue,2,15,lightyellow,19
3210,SLITRK3,turquoise,black,1,7,magenta,9
3211,SLITRK4,blue,turquoise,2,1,pink,8
3212,SLITRK5,grey,grey,0,0,turquoise,1
3213,SMAD2,grey,turquoise,0,1,turquoise,1
3214,SMAD3,lightgreen,turquoise,18,1,purple,10
